classifier,group,timeframe,instrument,window,bars_per_year,share_bull,drift_bull,vol_bull,ac1_bull,eff_bull,share_bear,drift_bear,vol_bear,ac1_bear,eff_bear,share_chop,drift_chop,vol_chop,ac1_chop,eff_chop,s1,kw_h,d_eff,d_ac1,n_bars,s1_null_mean,s1_null_p5,s1_null_p95,s1_z,s1_p,kw_h_null_mean,kw_h_null_p5,kw_h_null_p95,kw_h_z,kw_h_p,d_eff_null_mean,d_eff_null_p5,d_eff_null_p95,d_eff_z,d_eff_p,d_ac1_null_mean,d_ac1_null_p5,d_ac1_null_p95,d_ac1_z,d_ac1_p
ER,crypto,4h,DOGE-USD,OOS,2188,0.074046,-0.002398,0.900885,0.231772,0.483588,0.204580,-0.000397,0.624131,0.077212,0.385419,0.721374,-0.000272,0.601582,0.110367,0.322904,-0.002001,1.965396,0.111600,0.044125,1311,0.000839,-0.002518,0.004035,-1.383838,0.920530,2.107601,0.106437,5.849939,-0.073417,0.443709,0.019220,-0.077975,0.102015,1.628557,0.039735,-0.015336,-0.176758,0.152308,0.601658,0.264901
HMM,crypto,4h,DOGE-USD,FULL,2188,0.093398,0.003016,1.503098,-0.091273,0.125225,0.278123,-0.000501,1.043386,0.089861,0.296985,0.628479,-0.000093,0.683851,0.038077,0.197358,0.003517,2.460513,0.013747,-0.038783,4368,0.001307,-0.001202,0.004181,1.358909,0.105960,3.131508,0.152658,8.476803,-0.224834,0.470199,0.044377,-0.025842,0.106970,-0.796307,0.801325,-0.039693,-0.104587,0.035272,0.020813,0.463576
HMM,crypto,4h,DOGE-USD,IS,2188,0.133729,0.003016,1.503098,-0.091273,0.125225,0.316206,-0.000383,1.103900,0.091647,0.303676,0.550066,0.000066,0.733165,0.030450,0.202030,0.003399,1.838055,0.012421,-0.030263,3057,,,,,,,,,,,,,,,,,,,,
HMM,crypto,4h,DOGE-USD,OOS,2188,0.000000,,,,,0.189313,-0.000932,0.767604,0.079924,0.339945,0.810687,-0.000344,0.597950,0.054117,0.183766,,,0.156179,0.025807,1311,,,,,,,,,,,0.031975,-0.091965,0.157769,1.704387,0.066225,-0.032590,-0.156055,0.104643,0.741920,0.251656
ADX,crypto,4h,DOT-USD,FULL,2188,0.278844,0.000312,0.917045,0.034512,0.236162,0.421965,-0.000129,0.842401,-0.030383,0.201987,0.299191,-0.001129,0.795063,0.079907,0.412311,0.000441,2.110153,-0.193237,-0.077842,4368,-0.000014,-0.001393,0.001193,0.591849,0.291391,2.515987,0.086924,8.669429,-0.142398,0.370861,-0.151194,-0.212355,-0.099234,-1.249637,0.874172,-0.007622,-0.090052,0.055810,-1.529773,0.920530
ADX,crypto,4h,DOT-USD,IS,2188,0.293630,0.000797,0.941677,0.003790,0.247764,0.439615,0.000018,0.890845,-0.030343,0.197267,0.266755,-0.001475,0.854639,0.089376,0.417861,0.000779,3.380056,-0.195346,-0.102652,3057,,,,,,,,,,,,,,,,,,,,
ADX,crypto,4h,DOT-USD,OOS,2188,0.244275,-0.001033,0.843561,0.139109,0.237849,0.381679,-0.000518,0.697620,-0.032391,0.216149,0.374046,-0.000561,0.685365,0.058653,0.400934,-0.000514,1.097412,-0.173935,-0.005294,1311,-0.000223,-0.002406,0.001981,-0.222505,0.622517,2.140496,0.164628,6.699358,-0.480291,0.582781,-0.153647,-0.262344,-0.047232,-0.309954,0.582781,-0.016857,-0.140256,0.117879,0.148380,0.403974
ER,crypto,4h,DOT-USD,FULL,2188,0.133885,0.000026,0.943581,0.082528,0.393584,0.201058,0.000303,1.043158,-0.083037,0.319697,0.665056,-0.000546,0.760884,0.000005,0.356412,-0.000277,3.664781,0.000228,-0.000259,4368,0.000138,-0.001261,0.001720,-0.428241,0.622517,2.850705,0.122775,6.889809,0.348897,0.324503,0.016615,-0.033379,0.060647,-0.560165,0.728477,-0.007721,-0.080685,0.077639,0.157978,0.437086
ER,crypto,4h,DOT-USD,IS,2188,0.151515,0.000556,0.977216,0.064636,0.405509,0.197628,0.000207,1.155894,-0.100268,0.287114,0.650856,-0.000413,0.779420,-0.005381,0.374370,0.000350,2.027206,-0.028059,-0.012435,3057,,,,,,,,,,,,,,,,,,,,
ER,crypto,4h,DOT-USD,OOS,2188,0.093130,-0.001973,0.797295,0.174668,0.351185,0.209160,0.000515,0.738348,0.016674,0.371831,0.697710,-0.000837,0.719428,0.013817,0.312911,-0.002489,2.660386,0.048597,0.081854,1311,-0.000207,-0.002727,0.002181,-1.388397,0.913907,2.209725,0.088695,7.127708,0.214641,0.304636,0.009801,-0.095784,0.120156,0.640312,0.291391,-0.016409,-0.139410,0.113762,1.251126,0.099338
HMM,crypto,4h,DOT-USD,FULL,2188,0.381412,-0.000669,0.747983,0.133370,,0.252818,0.000370,1.235020,-0.009940,0.201823,0.365769,-0.000375,0.582075,,,-0.001039,1.907481,,,4368,-0.000564,-0.001837,0.000701,-0.594415,0.728477,2.620644,0.157650,7.785259,-0.266854,0.476821,,,,,,,,,,
HMM,crypto,4h,DOT-USD,IS,2188,0.370553,-0.000414,0.754352,0.139936,,0.276021,0.000608,1.315556,-0.035297,0.200896,0.353426,-0.000447,0.571440,,,-0.001023,1.842517,,,3057,,,,,,,,,,,,,,,,,,,,
HMM,crypto,4h,DOT-USD,OOS,2188,0.406870,-0.001207,0.733723,0.115095,,0.198473,-0.000403,0.931316,0.174105,0.224278,0.394656,-0.000226,0.603490,,,-0.000803,0.438786,,,1311,-0.000614,-0.002949,0.002013,-0.123721,0.562914,2.412346,0.166170,7.233810,-0.814362,0.814570,,,,,,,,,,
ADX,crypto,4h,ETH-USD,FULL,2188,0.284823,-0.000087,0.604939,0.029374,0.293929,0.394317,-0.000438,0.778510,0.020111,0.225939,0.320859,0.000501,0.607083,0.027173,0.397786,0.000351,1.209443,-0.137852,-0.002430,4372,0.000114,-0.000966,0.000901,0.423486,0.324503,2.508719,0.087785,7.540018,-0.485074,0.635762,-0.146275,-0.205922,-0.082463,0.219819,0.403974,-0.011561,-0.080251,0.061290,0.201449,0.443709
