market,dir,signal_date,entry_date,exit_date,entry_px,exit_px,contracts,gross_pnl,net_pnl,pnl_R,mae_R,mfe_R,bars_held,exit_reason,sig_own_i,ent_own_i,N,K
NQ=F,L,2002-11-01,2002-11-04,2002-12-30,1035.25,985.5431648380744,0.21269935526538,-21.14522358244819,-21.46427261534626,-0.31744168845709053,-0.3884909586445267,0.769117727842808,39,stop,537,538,50,4
ZB=F,L,2002-12-30,2002-12-31,2003-01-09,113.20317840576172,108.73813055102792,0.015756972853679448,-70.35563783742009,-70.3792732967006,-1.0109490962872074,-0.8735228627066788,0.1379125747842645,6,stop,569,570,50,4
ZW=F,S,2002-12-26,2002-12-27,2003-01-09,337.625,336.875,0.1060778200786566,3.977918252949622,3.818801522831637,0.05466861104902164,-0.18033048783531447,0.9585989090193031,8,gap_stop,591,592,50,4
ZS=F,L,2003-01-08,2003-01-09,2003-01-13,586.875,565.125,0.13943477688258682,-151.63531985981317,-151.84447202513704,-2.1585841032105826,-0.03716570425638055,0.5574855638457082,2,gap_stop,577,578,50,4
ZC=F,S,2003-01-13,2003-01-14,2003-01-23,230.375,235.375,0.34668209241779346,-86.67052310444836,-87.19054624307506,-1.242780476660715,-0.9574104069702326,0.1544210333822956,6,gap_stop,590,591,50,4
ES=F,L,2002-11-21,2002-11-22,2003-01-24,936.0,868.5074499631489,0.14415810299106394,-48.64798989670956,-48.86422705119615,-0.7145845036657764,-0.7167711824213577,0.20290948914134024,43,stop,551,552,50,4
ZW=F,S,2003-01-10,2003-01-13,2003-01-27,319.625,322.3015525569028,0.11328033895769411,-15.160039044201474,-15.329959552638014,-0.22028491267168088,-0.11191053879632512,0.8647632543352396,9,stop,601,602,50,4
GC=F,L,2002-12-06,2002-12-09,2003-02-11,325.8000122070313,363.1000122070313,0.7068429342406536,263.6524144717639,262.5921500704029,3.8517374969367233,-0.2903071873405895,6.542249408594537,43,gap_stop,564,565,50,4
HG=F,L,2003-01-22,2003-01-23,2003-02-13,0.7729999785423278,0.7566470494615316,0.8593887523616719,-35.133808300510914,-36.42289142905342,-0.5189297094031854,-0.6121993500944962,0.581591142137682,15,stop,595,596,50,4
NG=F,L,2002-08-22,2002-08-23,2003-02-26,3.441500057220459,7.606543179390032,0.0107090981827857,446.0385573085025,446.0224936612283,6.427646042697784,-0.5270344376133248,13.053934311786733,126,stop,492,493,50,4
HG=F,L,2003-02-26,2003-02-27,2003-03-06,0.7965000038146972,0.7538657944770499,0.6986159904951237,-74.46235096349226,-75.51027494923495,-1.0261070521386777,-0.9612147016482606,0.011866536319456689,5,stop,619,620,50,4
6A=F,L,2002-10-28,2002-10-29,2003-03-12,0.5563999844551086,0.5945214822359749,0.41270629284425603,157.32982026811848,156.7107608288521,2.3181839903413435,-0.4456697867798673,3.717982933088536,94,stop,437,438,50,4
ES=F,S,2003-01-24,2003-01-27,2003-03-18,860.0,871.5409373926756,0.1937971001642518,-11.183000999388534,-11.473696649634912,-0.16263812474931874,-0.10644811512869681,0.9820697073163642,36,stop,595,596,50,4
YM=F,S,2003-01-24,2003-01-27,2003-03-18,8115.0,8188.0305417562,0.20810120484163377,-7.5988718648512705,-7.911023672113721,-0.11213770889794138,-0.05457142792074697,1.0280077097502875,35,stop,203,204,50,4
CL=F,L,2002-12-16,2002-12-17,2003-03-18,29.90999961853028,32.49,0.213027911558394,54.961209308435514,54.64166744109792,0.7889409292045783,-0.061516017042625507,3.100399613583546,61,gap_stop,575,576,50,4
ZN=F,L,2003-02-13,2003-02-14,2003-03-18,115.3984375,115.33257736987125,0.024793111720696228,-1.6328775642218067,-1.670067231802851,-0.023409796298103185,-0.3393786999216633,0.8715634884407436,21,stop,600,601,50,4
6E=F,L,2002-11-05,2002-11-06,2003-03-18,0.9981000257492064,1.059399979019165,0.1726453349409309,132.28938705194275,132.03041904953136,1.9419903067230273,-0.4031269174313256,3.4948211312678237,92,gap_stop,541,542,50,4
ZB=F,L,2003-02-13,2003-02-14,2003-03-19,113.51567840576172,112.99736373822677,0.015626917103223018,-8.099660342953293,-8.123100718608129,-0.11386375920106671,-0.36621893206097983,0.7906104820674851,22,stop,600,601,50,4
ZC=F,S,2003-03-17,2003-03-18,2003-04-01,229.375,236.625,0.28096553512096134,-101.85000648134847,-102.27145478402993,-1.4145568372938915,-0.8500942531814253,0.3157492940388151,10,gap_stop,633,634,50,4
SI=F,S,2003-03-17,2003-03-18,2003-04-14,4.4649997901916505,4.517810368325345,0.30559190415252985,-16.138485131271725,-16.59687298750052,-0.2295578977706418,-0.10566897394590813,0.5029829906046742,19,stop,632,633,50,4
ZW=F,S,2003-03-12,2003-03-13,2003-04-22,310.125,290.375,0.11428067967113854,112.85217117524931,112.6807501557426,1.5256497670316467,-0.06769490599151577,2.485370119974222,27,gap_stop,641,642,50,4
GC=F,S,2003-03-13,2003-03-14,2003-04-30,336.4,337.1,0.34766853794793384,-2.433679765635695,-2.9551825725575958,-0.040817952069657736,-0.316939392540856,0.8211617395966183,32,gap_stop,629,630,50,4
6B=F,S,2003-03-18,2003-03-19,2003-04-30,1.5578999685287476,1.5942729298592406,0.20458206838650272,-46.507847889590934,-46.81472099217069,-0.6582600515598643,-0.6382508461998222,0.33979965581987187,29,stop,548,549,50,4
NG=F,S,2003-03-25,2003-03-26,2003-05-12,5.023500095367432,5.995272888513966,0.0034126167083597422,-33.1628807062128,-33.167999631275336,-0.4593132782787444,-0.4094922490824442,0.06781551697013956,32,stop,638,639,50,4
ZC=F,L,2003-05-09,2003-05-12,2003-05-19,250.125,250.49481582510825,0.35651264221635903,6.592200847138212,6.057431883813674,0.08357113963734503,-0.09222400797261682,1.321877447607508,5,stop,671,672,50,4
ZS=F,L,2003-04-30,2003-05-01,2003-05-19,621.125,635.7469686450677,0.1510892457789289,110.46111071932114,110.23447685065275,1.5587441742024468,-0.12017481935657072,3.3782476996902657,12,stop,654,655,50,4
SI=F,L,2003-05-01,2003-05-02,2003-05-22,4.755,4.6609841282563025,0.3768283764869479,-35.427848313182615,-35.99309087791304,-0.5058328347731069,-0.21183114217134325,0.6619754505751503,14,stop,664,665,50,4
